rank,city,population
1,Los Angeles,3966936
2,San Diego,1409573
3,San Jose,1027690
4,San Francisco,874961
5,Fresno,525010
6,Sacramento,500930
7,Long Beach,466776
8,Oakland,425097
9,Bakersfield,377917
10,Anaheim,349964
11,Santa Ana,332794
12,Riverside,326414
13,Stockton,309228
14,Irvine,273157
15,Chula Vista,268920
16,Fremont,235740
17,San Bernardino,216089
18,Santa Clarita,213411
19,Modesto,212616
20,Fontana,210759
21,Oxnard,208154
22,Moreno Valley,207289
23,Huntington Beach,200259
24,Glendale,200232
25,Santa Rosa,179701
26,Ontario,176760
27,Rancho Cucamonga,176379
28,Oceanside,175622
29,Garden Grove,173258
30,Elk Grove,170825
31,Corona,166972
32,Hayward,159293
33,Lancaster,159028
34,Palmdale,156293
35,Salinas,156143
36,Sunnyvale,152770
37,Pomona,152209
38,Escondido,151300
39,Torrance,145492
40,Pasadena,141258
41,Orange,139887
42,Fullerton,139611
43,Roseville,135637
44,Visalia,132104
45,Concord,129183
46,Thousand Oaks,127873
47,Santa Clara,127721
48,Simi Valley,125842
49,Victorville,121902
50,Berkeley,121485
51,Vallejo,121267
52,East Los Angeles,121187
53,El Monte,115517
54,Fairfield,115282
55,Carlsbad,114253
56,Temecula,113381
57,Costa Mesa,113159
58,Murrieta,112941
59,Downey,112322
60,Antioch,111200
61,San Buenaventura,109910
62,Richmond,109884
63,Inglewood,109613
64,Clovis,109160
65,Daly City,106677
66,West Covina,106589
67,Santa Maria,106224
68,Jurupa Valley,105653
69,Norwalk,105304
70,San Mateo,104333
71,Burbank,103703
72,El Cajon,103186
73,Rialto,103045
74,Arden-Arcade,102864
75,Vista,100686
76,Vacaville,98875
77,Compton,96803
78,Mission Viejo,95516
79,San Marcos,95355
80,South Gate,94642
81,Chico,94529
82,Hesperia,94203
83,Carson,92079
84,Redding,91580
85,Santa Monica,91577
86,Santa Barbara,91376
87,Westminster,91137
88,Tracy,90675
89,Menifee,90349
90,San Leandro,90025
91,Livermore,89699
92,Chino,89631
93,Indio,89469
94,Citrus Heights,87373
95,Hawthorne,87107
96,Whittier,86090
97,Redwood City,85784
98,Newport Beach,85694
99,Alhambra,84647
100,Hemet,84542
101,Lake Forest,83974
102,Merced,82662
103,Buena Park,82489
104,Pleasanton,81717
105,Mountain View,81656
106,Chino Hills,80701
107,Lakewood,80292
108,Tustin,79863
109,Milpitas,79517
110,Manteca,79129
111,Napa,79074
112,Alameda,78522
113,Folsom,78159
114,Perris,77290
115,Bellflower,77195
116,Upland,76596
117,Baldwin Park,75892
118,San Ramon,75648
119,Union City,74722
120,Rancho Cordova,73147
121,Turlock,72904
122,Apple Valley,72726
123,Pittsburg,71422
124,Redlands,71198
125,Lynwood,70635
126,Walnut Creek,69567
127,Davis,68543
128,Camarillo,68122
129,Yorba Linda,67725
130,Redondo Beach,67423
131,South San Francisco,67408
132,Palo Alto,66573
133,Yuba City,66516
134,Lodi,65846
135,Lake Elsinore,65817
136,Laguna Niguel,65808
137,Florence-Graham,65716
138,San Clemente,64878
139,Rocklin,64835
140,Madera,64833
141,Santa Cruz,64522
142,Carmichael,64454
143,Tulare,63547
144,Castro Valley,63013
145,Pico Rivera,63001
146,Encinitas,62780
147,Montebello,62742
148,Eastvale,62046
149,Brentwood,61961
150,Dublin,61240